zone,temperature,humidity,lightLux,dustMgPerM3,mq135Raw,mq135AirQualityDeviation,timestamp
zone1,31.8,69.1,61.66666,0.1381,2829,2.129964,2026-04-21T10:57:45.587Z
zone1,31.8,69.1,61.66666,0.133168,2823,1.913357,2026-04-21T10:57:50.589Z
zone1,31.8,69.1,62.5,0.136867,2829,2.129964,2026-04-21T10:57:55.596Z
zone1,31.8,69.2,62.5,0.134264,2823,1.913357,2026-04-21T10:58:00.582Z
zone1,31.8,69.2,62.5,0.138374,2821,1.841155,2026-04-21T10:58:05.607Z
zone1,31.8,69.1,62.5,0.135771,2821,1.841155,2026-04-21T10:58:10.607Z
zone1,31.8,69.1,62.5,0.13673,2824,1.949459,2026-04-21T10:58:15.588Z
zone1,31.8,69,62.5,0.139059,2828,2.093863,2026-04-21T10:58:20.583Z
zone1,31.8,69,62.5,0.138785,2798,1.01083,2026-04-21T10:58:25.587Z
zone1,31.8,69,62.5,0.12988,2829,2.129964,2026-04-21T10:58:30.587Z
zone1,31.8,69,63.33333,0.127962,2813,1.552347,2026-04-21T10:58:35.582Z
zone1,31.8,69,63.33333,0.129469,2818,1.732852,2026-04-21T10:58:40.590Z
zone1,31.8,69.1,61.66666,0.133031,2826,2.021661,2026-04-21T10:58:45.589Z
zone1,31.8,69,62.5,0.132209,2825,1.98556,2026-04-21T10:58:50.607Z
zone1,31.8,69,62.5,0.132209,2828,2.093863,2026-04-21T10:58:55.588Z
zone1,31.8,69,62.5,0.13536,2830,2.166065,2026-04-21T10:59:00.602Z
zone1,31.8,69.1,62.5,0.138374,2822,1.877256,2026-04-21T10:59:05.584Z
zone1,31.8,69.1,62.5,0.128236,2823,1.913357,2026-04-21T10:59:10.599Z
zone1,31.8,69.2,63.33333,0.132483,2828,2.093863,2026-04-21T10:59:15.593Z
zone1,31.8,69.1,63.33333,0.133579,2829,2.129964,2026-04-21T10:59:20.588Z
zone1,31.8,69.2,62.5,0.133853,2821,1.841155,2026-04-21T10:59:25.591Z
zone1,31.8,69.3,62.5,0.130291,2825,1.98556,2026-04-21T10:59:30.597Z
zone1,31.8,69.3,62.5,0.134401,2815,1.624549,2026-04-21T10:59:35.593Z
zone1,31.8,69.2,62.5,0.132209,2823,1.913357,2026-04-21T10:59:40.588Z
zone1,31.8,69.2,62.5,0.132346,2823,1.913357,2026-04-21T10:59:45.588Z
zone1,31.8,69.3,62.5,0.133579,2825,1.98556,2026-04-21T10:59:50.588Z
zone1,31.8,69.4,62.5,0.131798,2801,1.119134,2026-04-21T10:59:55.598Z
zone1,31.8,69.3,62.5,0.13536,2823,1.913357,2026-04-21T11:00:00.589Z
zone1,31.8,69.3,61.66666,0.128647,2817,1.696751,2026-04-21T11:00:05.586Z
zone1,31.8,69.3,62.5,0.128647,2823,1.913357,2026-04-21T11:00:10.627Z
zone1,31.8,69.6,62.5,0.135771,2830,2.166065,2026-04-21T11:00:15.604Z
zone1,31.8,69.6,62.5,0.131798,2828,2.093863,2026-04-21T11:00:20.587Z
zone1,31.8,69.6,62.5,0.130017,2826,2.021661,2026-04-21T11:00:25.590Z
zone1,31.8,69.4,62.5,0.133168,2821,1.841155,2026-04-21T11:00:30.589Z
zone1,31.8,69.4,62.5,0.13399,2821,1.841155,2026-04-21T11:00:36.561Z
zone1,31.8,69.3,62.5,0.12714,2827,2.057762,2026-04-21T11:00:40.609Z
zone1,31.8,69.3,62.5,0.12851,2821,1.841155,2026-04-21T11:00:45.608Z
zone1,31.8,69.2,62.5,0.135634,2824,1.949459,2026-04-21T11:00:50.597Z
zone1,31.9,69.3,62.5,0.133579,2830,2.166065,2026-04-21T11:00:55.588Z
zone1,31.8,69.2,63.33333,0.130428,2816,1.66065,2026-04-21T11:01:00.609Z
zone1,31.8,69.2,60.83333,0.130154,2824,1.949459,2026-04-21T11:01:05.583Z
zone1,31.8,69.1,60.83333,0.132072,2826,2.021661,2026-04-21T11:01:10.585Z
zone1,31.8,69.1,60,0.124263,2822,1.877256,2026-04-21T11:01:15.586Z
zone1,31.8,69.2,59.16666,0.131935,2823,1.913357,2026-04-21T11:01:20.599Z
zone1,31.8,69.3,58.33333,0.130154,2829,2.129964,2026-04-21T11:01:25.597Z
zone1,31.8,69.3,57.5,0.127962,2815,1.624549,2026-04-21T11:01:30.589Z
zone1,31.8,69.2,55.83333,0.131387,2828,2.093863,2026-04-21T11:01:35.584Z
zone1,31.8,69.3,55,0.130565,2821,1.841155,2026-04-21T11:01:40.584Z
zone1,31.8,69.4,54.16666,0.129469,2822,1.877256,2026-04-21T11:01:45.614Z
zone1,31.8,69.4,53.33333,0.134675,2821,1.841155,2026-04-21T11:01:50.585Z
zone1,31.8,69.3,52.5,0.131113,2820,1.805054,2026-04-21T11:01:55.593Z
zone1,31.8,69.3,51.66666,0.128099,2815,1.624549,2026-04-21T11:02:00.585Z
zone1,31.8,69.3,51.66666,0.128921,2827,2.057762,2026-04-21T11:02:05.589Z
zone1,31.8,69.4,51.66666,0.130565,2824,1.949459,2026-04-21T11:02:10.592Z
zone1,31.8,69.4,51.66666,0.134127,2824,1.949459,2026-04-21T11:02:15.586Z
zone1,31.8,69.3,50.83333,0.130291,2825,1.98556,2026-04-21T11:02:20.598Z
zone1,31.8,69.3,50.83333,0.136867,2825,1.98556,2026-04-21T11:02:25.589Z
zone1,31.8,69.4,50.83333,0.128236,2818,1.732852,2026-04-21T11:02:30.603Z
zone1,31.8,69.4,50.83333,0.133716,2824,1.949459,2026-04-21T11:02:35.607Z
zone1,31.8,69.3,51.66666,0.132209,2825,1.98556,2026-04-21T11:02:40.626Z
zone1,31.8,69.3,51.66666,0.131524,2830,2.166065,2026-04-21T11:02:45.584Z
zone1,31.8,69.4,51.66666,0.133305,2830,2.166065,2026-04-21T11:02:50.596Z
zone1,31.8,69.3,51.66666,0.129058,2819,1.768953,2026-04-21T11:02:55.591Z
zone1,31.8,69.3,51.66666,0.12851,2826,2.021661,2026-04-21T11:03:00.591Z
zone1,31.8,69.2,52.5,0.131661,2824,1.949459,2026-04-21T11:03:05.593Z
zone1,31.8,69.3,52.5,0.133579,2829,2.129964,2026-04-21T11:03:10.586Z
zone1,31.8,69.3,53.33333,0.135223,2824,1.949459,2026-04-21T11:03:15.591Z
zone1,31.8,69.3,53.33333,0.136319,2828,2.093863,2026-04-21T11:03:20.587Z
zone1,31.8,69.2,53.33333,0.127962,2823,1.913357,2026-04-21T11:03:25.592Z
zone1,31.8,69.3,54.16666,0.128784,2820,1.805054,2026-04-21T11:03:30.585Z
zone1,31.8,69.4,54.16666,0.128373,2829,2.129964,2026-04-21T11:03:35.587Z
zone1,31.8,69.3,54.16666,0.129606,2798,1.01083,2026-04-21T11:03:40.601Z
zone1,31.8,69.3,55,0.134127,2824,1.949459,2026-04-21T11:03:45.586Z
zone1,31.8,69.3,54.16666,0.129606,2821,1.841155,2026-04-21T11:03:50.593Z
zone1,31.8,69.3,53.33333,0.133168,2817,1.696751,2026-04-21T11:03:55.587Z
zone1,31.8,69.4,53.33333,0.130154,2823,1.913357,2026-04-21T11:04:00.601Z
zone1,31.8,69.4,53.33333,0.130154,2826,2.021661,2026-04-21T11:04:05.623Z
zone1,31.8,69.4,53.33333,0.135771,2828,2.093863,2026-04-21T11:04:10.607Z
zone1,31.8,69.4,53.33333,0.130154,2825,1.98556,2026-04-21T11:04:15.591Z
zone1,31.8,69.4,53.33333,0.13125,2823,1.913357,2026-04-21T11:04:20.600Z
zone1,31.8,69.3,53.33333,0.131524,2805,1.263538,2026-04-21T11:04:25.610Z
zone1,31.8,69.3,53.33333,0.13125,2826,2.021661,2026-04-21T11:04:30.589Z
zone1,31.8,69.4,53.33333,0.131113,2826,2.021661,2026-04-21T11:04:35.596Z
zone1,31.8,69.5,53.33333,0.130428,2823,1.913357,2026-04-21T11:04:40.594Z
zone1,31.8,69.7,53.33333,0.137963,2820,1.805054,2026-04-21T11:04:45.591Z
zone1,31.8,69.7,53.33333,0.131387,2821,1.841155,2026-04-21T11:04:50.602Z
zone1,31.8,69.5,52.5,0.124674,2816,1.66065,2026-04-21T11:04:55.636Z
zone1,31.8,69.6,53.33333,0.129469,2822,1.877256,2026-04-21T11:05:00.590Z
zone1,31.8,69.6,53.33333,0.129469,2822,1.877256,2026-04-21T11:05:05.588Z
zone1,31.8,69.7,53.33333,0.129058,2826,2.021661,2026-04-21T11:05:10.588Z
zone1,31.8,69.6,53.33333,0.129606,2821,1.841155,2026-04-21T11:05:15.593Z
zone1,31.8,69.5,53.33333,0.127825,2815,1.624549,2026-04-21T11:05:20.589Z
zone1,31.9,69.5,53.33333,0.127003,2830,2.166065,2026-04-21T11:05:25.587Z
zone1,31.8,69.6,53.33333,0.131935,2823,1.913357,2026-04-21T11:05:30.596Z
zone1,31.8,69.6,53.33333,0.131387,2830,2.166065,2026-04-21T11:05:35.588Z
zone1,31.9,69.5,53.33333,0.131524,2822,1.877256,2026-04-21T11:05:40.588Z
zone1,31.9,69.6,53.33333,0.134401,2821,1.841155,2026-04-21T11:05:45.595Z
zone1,31.9,69.6,53.33333,0.132757,2822,1.877256,2026-04-21T11:05:50.590Z
zone1,31.8,69.6,53.33333,0.129743,2821,1.841155,2026-04-21T11:05:55.598Z
zone1,31.9,69.4,53.33333,0.133716,2824,1.949459,2026-04-21T11:06:00.594Z
zone1,31.9,69.5,52.5,0.131113,2824,1.949459,2026-04-21T11:06:05.591Z
zone1,31.8,69.4,53.33333,0.127551,2825,1.98556,2026-04-21T11:06:10.614Z
zone1,31.9,69.4,53.33333,0.128647,2818,1.732852,2026-04-21T11:06:15.591Z
zone1,31.8,69.3,53.33333,0.129469,2821,1.841155,2026-04-21T11:06:20.591Z
zone1,31.8,69.3,52.5,0.13262,2823,1.913357,2026-04-21T11:06:25.595Z
zone1,31.9,69.5,52.5,0.132894,2822,1.877256,2026-04-21T11:06:30.593Z
zone1,31.9,69.6,53.33333,0.130976,2825,1.98556,2026-04-21T11:06:35.592Z
zone1,31.8,69.5,53.33333,0.130154,2826,2.021661,2026-04-21T11:06:40.656Z
zone1,31.9,69.4,53.33333,0.131524,2816,1.66065,2026-04-21T11:06:45.589Z
zone1,31.8,69.5,53.33333,0.131113,2820,1.805054,2026-04-21T11:06:50.594Z
zone1,31.9,69.5,53.33333,0.133853,2826,2.021661,2026-04-21T11:06:55.592Z
zone1,31.9,69.7,54.16666,0.13262,2824,1.949459,2026-04-21T11:07:00.592Z
zone1,31.9,69.5,54.16666,0.133853,2828,2.093863,2026-04-21T11:07:05.589Z
zone1,31.9,69.5,55,0.130017,2826,2.021661,2026-04-21T11:07:10.594Z
zone1,31.9,69.4,55.83333,0.130154,2821,1.841155,2026-04-21T11:07:15.602Z
zone1,31.9,69.4,54.16666,0.131935,2828,2.093863,2026-04-21T11:07:20.613Z
zone1,31.9,69.4,54.16666,0.133168,2825,1.98556,2026-04-21T11:07:25.588Z
zone1,31.9,69.3,55.83333,0.134538,2822,1.877256,2026-04-21T11:07:30.600Z
zone1,31.9,69.4,56.66666,0.129058,2825,1.98556,2026-04-21T11:07:35.589Z
zone1,31.9,69.4,56.66666,0.133579,2825,1.98556,2026-04-21T11:07:40.604Z
zone1,31.9,69.4,57.5,0.13262,2821,1.841155,2026-04-21T11:07:45.591Z
zone1,31.9,69.4,57.5,0.133168,2825,1.98556,2026-04-21T11:07:50.586Z
zone1,31.8,69.3,58.33333,0.129332,2825,1.98556,2026-04-21T11:07:55.597Z
zone1,31.9,69.3,59.16666,0.139059,2826,2.021661,2026-04-21T11:08:00.593Z
zone1,31.9,69.3,59.16666,0.132894,2824,1.949459,2026-04-21T11:08:05.594Z
zone1,31.9,69.2,58.33333,0.135223,2824,1.949459,2026-04-21T11:08:10.595Z
zone1,31.9,69.3,60,0.13947,2816,1.66065,2026-04-21T11:08:15.594Z
zone1,31.9,69.2,60,0.134127,2828,2.093863,2026-04-21T11:08:20.600Z
zone1,31.9,69.2,60,0.137552,2828,2.093863,2026-04-21T11:08:25.589Z
zone1,31.9,69.2,60,0.137826,2823,1.913357,2026-04-21T11:08:30.622Z
zone1,31.9,69.1,60,0.139196,2824,1.949459,2026-04-21T11:08:35.598Z
zone1,31.9,69.2,60,0.143442,2821,1.841155,2026-04-21T11:08:40.603Z
zone1,31.9,69.3,59.16666,0.135634,2814,1.588448,2026-04-21T11:08:45.595Z
zone1,31.9,69.2,60,0.13536,2827,2.057762,2026-04-21T11:08:50.615Z
zone1,31.8,69.2,60,0.137004,2821,1.841155,2026-04-21T11:08:55.599Z
zone1,31.8,69.1,60.83333,0.138511,2826,2.021661,2026-04-21T11:09:00.603Z
zone1,31.9,69.2,62.5,0.135908,2826,2.021661,2026-04-21T11:09:05.606Z
zone1,31.9,69.4,60,0.133853,2821,1.841155,2026-04-21T11:09:10.591Z
zone1,31.9,69.3,60,0.140018,2822,1.877256,2026-04-21T11:09:15.594Z
zone1,31.9,69.2,59.16666,0.139881,2823,1.913357,2026-04-21T11:09:20.614Z
zone1,31.8,69.2,60,0.137826,2823,1.913357,2026-04-21T11:09:25.607Z
zone1,31.9,69.2,60,0.13673,2821,1.841155,2026-04-21T11:09:30.595Z
zone1,31.8,69.2,60,0.138374,2828,2.093863,2026-04-21T11:09:35.605Z
zone1,31.8,69.1,64.16666,0.140429,2818,1.732852,2026-04-21T11:09:40.603Z
zone1,31.9,69.1,64.16666,0.134812,2828,2.093863,2026-04-21T11:09:45.613Z
zone1,31.9,69.1,64.16666,0.1381,2825,1.98556,2026-04-21T11:09:50.587Z
zone1,31.9,69.1,64.16666,0.137004,2824,1.949459,2026-04-21T11:09:55.641Z
zone1,31.9,69.1,64.16666,0.146319,2827,2.057762,2026-04-21T11:10:00.592Z
zone1,31.9,69.2,64.16666,0.137826,2822,1.877256,2026-04-21T11:10:05.597Z
zone1,31.9,69.1,64.16666,0.139196,2816,1.66065,2026-04-21T11:10:10.592Z
zone1,31.9,69.1,64.16666,0.136867,2826,2.021661,2026-04-21T11:10:15.579Z
zone1,31.9,69.1,64.16666,0.13673,2828,2.093863,2026-04-21T11:10:20.636Z
zone1,31.9,69.1,63.33333,0.137826,2824,1.949459,2026-04-21T11:10:25.589Z
zone1,31.9,69.1,63.33333,0.136593,2823,1.913357,2026-04-21T11:10:30.584Z
zone1,31.9,69.1,62.5,0.139333,2819,1.768953,2026-04-21T11:10:35.682Z
zone1,31.9,69.2,62.5,0.130565,2821,1.841155,2026-04-21T11:10:40.589Z
zone1,31.9,69.1,62.5,0.138374,2825,1.98556,2026-04-21T11:10:45.592Z
zone1,31.9,69,62.5,0.137552,2822,1.877256,2026-04-21T11:10:50.627Z
zone1,31.9,69.1,62.5,0.13536,2824,1.949459,2026-04-21T11:10:55.594Z
zone1,31.9,69.1,61.66666,0.131661,2823,1.913357,2026-04-21T11:11:00.625Z
zone1,31.9,69.2,61.66666,0.139333,2826,2.021661,2026-04-21T11:11:05.596Z
zone1,31.9,69,60.83333,0.133442,2821,1.841155,2026-04-21T11:11:10.592Z
zone1,31.9,69,60.83333,0.134264,2830,2.166065,2026-04-21T11:11:15.598Z
zone1,31.9,69.1,59.16666,0.134675,2815,1.624549,2026-04-21T11:11:20.694Z
zone1,31.9,69,60,0.136456,2821,1.841155,2026-04-21T11:11:25.602Z
zone1,31.9,69,60,0.131661,2825,1.98556,2026-04-21T11:11:30.625Z
zone1,31.9,68.9,55,0.130017,2823,1.913357,2026-04-21T11:11:35.591Z
zone1,31.9,68.9,56.66666,0.140155,2826,2.021661,2026-04-21T11:11:40.573Z
zone1,31.9,69,55.83333,0.136456,2826,2.021661,2026-04-21T11:11:45.653Z
zone1,31.9,69,55.83333,0.138922,2825,1.98556,2026-04-21T11:11:50.624Z
zone1,31.9,68.9,55.83333,0.140018,2824,1.949459,2026-04-21T11:11:55.733Z
zone1,31.9,69.1,58.33333,0.134949,2810,1.444043,2026-04-21T11:12:30.746Z
zone1,31.9,69,58.33333,0.142621,2821,1.841155,2026-04-21T11:12:35.614Z
zone1,31.9,68.9,55.83333,0.137004,2827,2.057762,2026-04-21T11:12:40.596Z
zone1,31.9,69,57.5,0.140429,2825,1.98556,2026-04-21T11:12:45.594Z
zone1,31.9,69,58.33333,0.136593,2828,2.093863,2026-04-21T11:12:50.604Z
zone1,31.9,69,55.83333,0.135497,2828,2.093863,2026-04-21T11:12:55.594Z
zone1,31.9,69,61.66666,0.144264,2818,1.732852,2026-04-21T11:13:00.595Z
zone1,31.9,68.9,63.33333,0.139059,2816,1.66065,2026-04-21T11:13:05.591Z
zone1,31.9,68.9,63.33333,0.136593,2827,2.057762,2026-04-21T11:13:10.609Z
zone1,31.9,68.9,63.33333,0.139333,2827,2.057762,2026-04-21T11:13:15.604Z
zone1,31.9,68.8,62.5,0.140155,2828,2.093863,2026-04-21T11:13:20.605Z
zone1,31.9,68.9,63.33333,0.141936,2824,1.949459,2026-04-21T11:13:25.595Z
zone1,31.9,68.9,63.33333,0.1381,2818,1.732852,2026-04-21T11:13:30.594Z
zone1,31.9,69,63.33333,0.139607,2821,1.841155,2026-04-21T11:13:35.641Z
zone1,31.9,69,63.33333,0.139881,2827,2.057762,2026-04-21T11:13:40.595Z
zone1,31.9,68.9,63.33333,0.138237,2828,2.093863,2026-04-21T11:13:45.602Z
zone1,31.9,68.9,62.5,0.137552,2821,1.841155,2026-04-21T11:13:50.596Z
zone1,31.9,68.9,62.5,0.138511,2823,1.913357,2026-04-21T11:13:55.976Z
zone1,31.9,68.9,62.5,0.140429,2817,1.696751,2026-04-21T11:14:00.595Z
zone1,31.9,68.9,62.5,0.134812,2826,2.021661,2026-04-21T11:14:05.586Z
zone1,31.9,68.9,62.5,0.138785,2828,2.093863,2026-04-21T11:14:10.598Z
zone1,31.9,68.8,63.33333,0.138785,2824,1.949459,2026-04-21T11:14:15.609Z
zone1,31.9,68.9,62.5,0.138785,2824,1.949459,2026-04-21T11:14:20.588Z
zone1,31.9,68.9,62.5,0.138922,2826,2.021661,2026-04-21T11:14:25.595Z
zone1,31.9,69,62.5,0.140018,2816,1.66065,2026-04-21T11:14:30.594Z
zone1,31.9,68.9,62.5,0.142758,2824,1.949459,2026-04-21T11:14:35.592Z
zone1,31.9,68.9,62.5,0.135771,2832,2.238267,2026-04-21T11:14:40.592Z
zone1,31.9,68.9,61.66666,0.143031,2825,1.98556,2026-04-21T11:14:45.693Z
zone1,31.9,68.9,62.5,0.140429,2821,1.841155,2026-04-21T11:14:50.711Z
zone1,31.9,68.9,63.33333,0.139196,2825,1.98556,2026-04-21T11:14:55.598Z
zone1,31.9,68.9,63.33333,0.133442,2818,1.732852,2026-04-21T11:15:00.595Z
zone1,31.9,68.9,63.33333,0.145223,2826,2.021661,2026-04-21T11:15:05.593Z
zone1,31.9,68.9,61.66666,0.143442,2825,1.98556,2026-04-21T11:15:10.596Z
zone1,31.9,68.9,62.5,0.138785,2828,2.093863,2026-04-21T11:15:15.594Z
zone1,31.9,68.8,61.66666,0.136182,2826,2.021661,2026-04-21T11:15:20.595Z
zone1,31.9,68.8,61.66666,0.140429,2819,1.768953,2026-04-21T11:15:25.595Z
zone1,31.9,68.8,61.66666,0.137963,2822,1.877256,2026-04-21T11:15:30.594Z
zone1,31.9,68.8,61.66666,0.136593,2825,1.98556,2026-04-21T11:15:35.584Z
zone1,31.9,68.8,61.66666,0.138648,2827,2.057762,2026-04-21T11:15:40.589Z
zone1,31.9,68.8,60.83333,0.140566,2826,2.021661,2026-04-21T11:15:45.598Z
zone1,31.9,68.8,60.83333,0.144401,2828,2.093863,2026-04-21T11:15:50.593Z
zone1,31.9,68.8,61.66666,0.137004,2817,1.696751,2026-04-21T11:15:55.596Z
zone1,31.9,68.8,61.66666,0.137963,2824,1.949459,2026-04-21T11:16:00.674Z
zone1,31.9,68.8,61.66666,0.141114,2823,1.913357,2026-04-21T11:16:05.585Z
zone1,31.9,68.8,60.83333,0.142758,2824,1.949459,2026-04-21T11:16:10.597Z
zone1,31.9,68.8,60.83333,0.138511,2822,1.877256,2026-04-21T11:16:15.596Z
zone1,31.9,68.8,61.66666,0.138785,2824,1.949459,2026-04-21T11:16:20.593Z
zone1,31.9,68.8,60.83333,0.142621,2818,1.732852,2026-04-21T11:16:25.596Z
zone1,31.9,68.8,62.5,0.143579,2826,2.021661,2026-04-21T11:16:30.596Z
zone1,31.9,68.8,61.66666,0.1381,2822,1.877256,2026-04-21T11:16:35.608Z
zone1,31.9,68.9,62.5,0.141388,2826,2.021661,2026-04-21T11:16:40.592Z
zone1,31.9,68.8,60.83333,0.13947,2825,1.98556,2026-04-21T11:16:46.022Z
zone1,31.9,68.8,61.66666,0.139333,2828,2.093863,2026-04-21T11:16:50.608Z
zone1,31.9,68.8,60.83333,0.137689,2820,1.805054,2026-04-21T11:16:55.597Z
zone1,31.9,68.9,60.83333,0.142073,2826,2.021661,2026-04-21T11:17:00.595Z
zone1,31.9,68.9,60.83333,0.137415,2825,1.98556,2026-04-21T11:17:05.595Z
zone1,31.9,68.9,60,0.138785,2827,2.057762,2026-04-21T11:17:10.595Z
zone1,31.9,68.8,60,0.142758,2828,2.093863,2026-04-21T11:17:15.596Z
zone1,31.9,68.9,59.16666,0.144538,2823,1.913357,2026-04-21T11:17:20.594Z
zone1,31.9,68.9,59.16666,0.140155,2820,1.805054,2026-04-21T11:17:25.593Z
zone1,31.9,68.9,59.16666,0.137004,2828,2.093863,2026-04-21T11:17:30.597Z
zone1,31.9,69,59.16666,0.13947,2823,1.913357,2026-04-21T11:17:35.587Z
zone1,31.9,68.9,58.33333,0.139744,2824,1.949459,2026-04-21T11:17:40.594Z
zone1,31.9,68.9,58.33333,0.142073,2823,1.913357,2026-04-21T11:17:45.611Z
zone1,31.9,69,58.33333,0.140155,2820,1.805054,2026-04-21T11:17:50.594Z
zone1,31.9,68.8,58.33333,0.141388,2822,1.877256,2026-04-21T11:17:55.610Z
zone1,31.9,68.8,57.5,0.138237,2822,1.877256,2026-04-21T11:18:00.595Z
zone1,31.9,68.8,58.33333,0.145497,2828,2.093863,2026-04-21T11:18:05.607Z
zone1,31.9,68.8,58.33333,0.139333,2827,2.057762,2026-04-21T11:18:11.718Z
zone1,31.9,68.9,58.33333,0.141388,2827,2.057762,2026-04-21T11:18:15.594Z
zone1,31.9,68.8,58.33333,0.141388,2820,1.805054,2026-04-21T11:18:20.621Z
zone1,31.9,68.9,58.33333,0.132894,2821,1.841155,2026-04-21T11:18:25.605Z
zone1,31.9,68.8,58.33333,0.14221,2826,2.021661,2026-04-21T11:18:30.604Z
zone1,31.9,68.8,58.33333,0.139196,2824,1.949459,2026-04-21T11:18:35.598Z
zone1,31.9,68.8,57.5,0.141251,2829,2.129964,2026-04-21T11:18:40.594Z
zone1,31.9,68.8,58.33333,0.142621,2821,1.841155,2026-04-21T11:18:45.596Z
zone1,31.9,68.8,59.16666,0.142484,2821,1.841155,2026-04-21T11:18:50.597Z
zone1,31.9,68.9,58.33333,0.141662,2823,1.913357,2026-04-21T11:18:55.597Z
zone1,31.9,68.8,57.5,0.143031,2824,1.949459,2026-04-21T11:19:00.595Z
zone1,31.9,68.9,56.66666,0.143716,2830,2.166065,2026-04-21T11:19:05.595Z
zone1,31.9,68.8,56.66666,0.141936,2827,2.057762,2026-04-21T11:19:10.596Z
zone1,31.9,68.8,57.5,0.141662,2822,1.877256,2026-04-21T11:19:15.595Z
zone1,31.9,68.9,57.5,0.136593,2817,1.696751,2026-04-21T11:19:20.608Z
zone1,31.9,68.8,58.33333,0.139059,2828,2.093863,2026-04-21T11:19:25.598Z
zone1,31.9,68.9,57.5,0.146182,2829,2.129964,2026-04-21T11:19:30.656Z
zone1,31.9,68.9,57.5,0.139607,2827,2.057762,2026-04-21T11:19:35.988Z
